ID Ticket GENERGY ;ID Ticket OCEANE;App;Description;Acteur;Périmètre ;Statut;Priorité;Actions réalisés;Date d'ouverture;Date de résolution;Durée de résolution;ID Jira
INC001010961694;2512K27406;Parc;Problème Marine;Mariem Hammami;Support VIO;Résolu;P3;L’investigation a été effectuée;10/11/2025;11/12/2025 00:00;✅ Résolu en 23 jours;
INC001010946366;2512H51825;Parc;Dans le cadre d'une mise à jour du SI et du traitement des portabilités, j'aurai besoin d'un recensement de tous les parcs actifs sur les offres de gros : DSL/ DGT et VG et Pour la Porta HD;Akram Sahli ;Support VIO;Résolu;P4;"Nous avons bien pris en compte votre demande concernant l’extraction de l’ensemble des parcs actifs sur les offres de gros : DSL, DGT, VG ainsi que pour la Porta HD. 
Vous trouverez ci-joint le lien contenant l’ensemble des fichiers demandés. 
https://tf.orange.com/d/22ba85b2ddcf4b7e93f6/ ";02/12/2025;04/12/2025;✅ Résolu en 2 jours;
INC001010954206;2512J75412;Parc;J'ai besoin du parc d'accès du client CEGETEL // code ariane OC : 00SFR1 // codes offre : FTTH_ZMD_MO (BRAM), FTTH_ZTD_V, FTTH_ZTD_BD_V, FTTH_ZMD_V (accès passifs) // OI : Orange & RIP orange;Akram Sahli ;Support VIO;Résolu;P3;"Nous avons bien pris en compte votre demande concernant l’extraction de l’ensemble des parcs d'accès du client CEGETEL // code ariane OC : 00SFR1 // codes offre : FTTH_ZMD_MO (BRAM), FTTH_ZTD_V, FTTH_ZTD_BD_V, FTTH_ZMD_V (accès passifs)
Vous trouverez ci-joint le lien contenant l’ensemble des fichiers demandés.
https://tf.orange.com/d/cfa26ff479454739bc96/";09/12/2025;10/12/2025;✅ Résolu en 1 jour;
;2512L11587;Vigie;[VIGIE_VI] / [SMC4, BRONZE, SOX] / [REMCOLL_NOOPI_JOB / ENDED_NOT_OK / JU.VIG.SYN.FOP ] : [NOOPI : le job JU.VIG.SYN.FOP (WORKFLOW : W.VIG.SYN.FOP.D.WS01, RUNID : 1620800468, CLIENTNUM : 1123 ) s est termine dans l etat ENDED_NOT_OK a 00:35:34.];Akram Sahli ;Support VIO;Résolu;P4;"Bonjour,
L’incident a été rétabli le lendemain.
La synchronisation des données du 13/12 a bien été effectuée avec succès, sans impact résiduel constaté.";12/12/2025;18/12/2025 00:00;✅ Résolu en 4 jours;
;2512L01771;Sagic;[SAGIC] / [SMC3, ARGENT] / [OBV_APP_FILE_STRING / MatchingLine / /opt/application/vi1was/current/logs/sagic_servlet.log_SQLException_Servlet ] : [/opt/application/vi1was/current/logs/sagic_servlet.log contain SQLException_Servlet - Historique Observabilite It];Mariem Hammami;Support VIO;Résolu;P3;"Voir avec la MOE si le problème est récurrent. Dans ce cas, ouvrir un ticket JIRA pour correction ; sinon, il s’agit d’un incident ponctuel lié à ProcessCrArtemis lors d’un problème de connexion à la base SAGIC le 12/12.";12/12/2025;19/01/1900;✅ Résolu en < 1 jour;
;2512K66016;Parc;[PARC VIO] / [SMC4, BRONZE, SOX] / [OBV_APP_FILE / Size / /var/opt/data/flat/viapar/files/extract/PROXIMA_202-.zip ] : [L'indicateur est au dessous du seuil pendant plus de 30m (797) - Historique Observabilite It];Akram Sahli ;Support VIO;Résolu;P3;"Bonjour,
Après vérification, le volume des données générées semble conforme et ne présente pas d’anomalie particulière.
Concernant le fichier PROXIMA_20251211_001.parc.zip (taille < 1 Mo), celui-ci a été généré manuellement par l’équipe N3 dans le cadre de tests d’accès";11/12/2025;18/12/2025;✅ Résolu en 5 jours;
;2512N01311;Fop ;Description initiale du ticket: [FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [OBV_MQS_QUEUE / DepthPercent / OPVIOAS011-OPVIOAS011.QL.FOP.DESCENTE.ERREUR.RECI] : [L'indicateur est au dessus du seuil pendant plus de 2m (100) - Historique Observabilite It];Mariem Hammami;Support VIO;Résolu;P2;"Intervention de l’équipe Infrastructure avec augmentation du MAXDEPTH de la file MQ
OPVIOAS011.QL.FOP.DESCENTE.ERREUR.RECI de 10 000 à 30 000, permettant la levée de l’alarme.
Recommandation :
Compte tenu du dysfonctionnement du module IHM FOP et de l’ancienneté des messages en erreur, il est recommandé de procéder à une suppression manuelle des messages, après accord.";19/12/2025;19/12/2025;✅ Résolu en < 1 jour;
;2512P58372;Fop ;"
[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF04_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF04_WARN'. 1 <= 1.00 <= 2147483646]
";Mariem Hammami;Support VIO;Résolu;P3;Commande désormais débloquée;26/12/2025;29/12/2025;✅ Résolu en 1 jour;
;2512O91480;Fop ;"
[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF04_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF04_WARN'. 1 <= 1.00 <= 2147483646]
";Mariem Hammami;Support VIO;Résolu;P3;Commande désormais débloquée;26/12/2025;29/12/2025;✅ Résolu en 1 jour;
;2512O96520;Fop ;"
[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF04_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF04_WARN'. 1 <= 1.00 <= 2147483646]
";Mariem Hammami;Support VIO;Résolu;P3;Commande désormais débloquée;26/12/2025;29/12/2025;✅ Résolu en 1 jour;
;2512P64218;Fop ;"
[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF04_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF04_WARN'. 1 <= 1.00 <= 2147483646]
";Mariem Hammami;Support VIO;Résolu;P3;Commande désormais débloquée;29/12/2025;30/12/2025;✅ Résolu en 1 jour;
;2512P79331;Fop ;"
[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF04_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF04_WARN'. 1 <= 1.00 <= 2147483646]
";Mariem Hammami;Support VIO;Résolu;P3;Commande désormais débloquée;29/12/2025;30/12/2025;✅ Résolu en 1 jour;
